verb,meaning,tense,pronoun,form,page
Être,be,présent,Je,suis,19
Être,be,passé composé,J',ai été,19
Être,be,imparfait,J',étais,19
Être,be,plus-que-parfait,J',avais été,19
Être,be,présent,Tu,es,19
Être,be,passé composé,Tu,as été,19
Être,be,imparfait,Tu,étais,19
Être,be,plus-que-parfait,Tu,avais été,19
Être,be,présent,Il/elle,est,19
Être,be,passé composé,Il/elle,a été,19
Être,be,imparfait,Il/elle,était,19
Être,be,plus-que-parfait,Il/elle,avait été,19
Être,be,présent,Nous,sommes,19
Être,be,passé composé,Nous,avons été,19
Être,be,imparfait,Nous,étions,19
Être,be,plus-que-parfait,Nous,avions été,19
Être,be,présent,Vous,êtes,19
Être,be,passé composé,Vous,avez été,19
Être,be,imparfait,Vous,étiez,19
Être,be,plus-que-parfait,Vous,aviez été,19
Être,be,présent,Ils/elles,sont,19
Être,be,passé composé,Ils/elles,ont été,19
Être,be,imparfait,Ils/elles,étaient,19
Être,be,plus-que-parfait,Ils/elles,avaient été,19
Être,be,futur simple,Je,serai,19
Être,be,futur antérieur,J',aurai été,19
Être,be,futur simple,Tu,seras,19
Être,be,futur antérieur,Tu,auras été,19
Être,be,futur simple,Il/elle,sera,19
Être,be,futur antérieur,Il/elle,aura été,19
Être,be,futur simple,Nous,serons,19
Être,be,futur antérieur,Nous,aurons été,19
Être,be,futur simple,Vous,serez,19
Être,be,futur antérieur,Vous,aurez été,19
Être,be,futur simple,Ils/elles,seront,19
Être,be,futur antérieur,Ils/elles,auront été,19
Être,be,conditionnel présent,Je,serais,19
Être,be,conditionnel passé,J',aurais été,19
Être,be,conditionnel présent,Tu,serais,19
Être,be,conditionnel passé,Tu,aurais été,19
Être,be,conditionnel présent,Il/elle,serait,19
Être,be,conditionnel passé,Il/elle,aurait été,19
Être,be,conditionnel présent,Nous,serions,19
Être,be,conditionnel passé,Nous,aurions été,19
Être,be,conditionnel présent,Vous,seriez,19
Être,be,conditionnel passé,Vous,auriez été,19
Être,be,conditionnel présent,Ils/elles,seraient,19
Être,be,conditionnel passé,Ils/elles,auraient été,19
Être,be,subjonctif présent,Que je,sois,19
Être,be,impératif présent,Tu,Sois,19
Être,be,subjonctif présent,Que tu,sois,19
Être,be,impératif présent,Nous,Soyons,19
Être,be,subjonctif présent,Qu'il/elle,soit,19
Être,be,impératif présent,Vous,Soyez,19
Être,be,subjonctif présent,Que nous,soyons,19
Être,be,subjonctif présent,Que vous,soyez,19
Être,be,subjonctif présent,Qu'ils/elles,soient,19
Avoir,have,présent,J',ai,20
Avoir,have,passé composé,J',ai eu,20
Avoir,have,imparfait,J',avais,20
Avoir,have,plus-que-parfait,J',avais eu,20
Avoir,have,présent,Tu,as,20
Avoir,have,passé composé,Tu,as eu,20
Avoir,have,imparfait,Tu,avais,20
Avoir,have,plus-que-parfait,Tu,avais eu,20
Avoir,have,présent,Il/elle,a,20
Avoir,have,passé composé,Il/elle,a eu,20
Avoir,have,imparfait,Il/elle,avait,20
Avoir,have,plus-que-parfait,Il/elle,avait eu,20
Avoir,have,présent,Nous,avons,20
Avoir,have,passé composé,Nous,avons eu,20
Avoir,have,imparfait,Nous,avions,20
Avoir,have,plus-que-parfait,Nous,avions eu,20
Avoir,have,présent,Vous,avez,20
Avoir,have,passé composé,Vous,avez eu,20
Avoir,have,imparfait,Vous,aviez,20
Avoir,have,plus-que-parfait,Vous,aviez eu,20
Avoir,have,présent,Ils/elles,ont,20
Avoir,have,passé composé,Ils/elles,ont eu,20
Avoir,have,imparfait,Ils/elles,avaient,20
Avoir,have,plus-que-parfait,Ils/elles,avaient eu,20
Avoir,have,futur simple,J',aurai,20
Avoir,have,futur antérieur,J',aurai eu,20
Avoir,have,futur simple,Tu,auras,20
Avoir,have,futur antérieur,Tu,auras eu,20
Avoir,have,futur simple,Il/elle,aura,20
Avoir,have,futur antérieur,Il/elle,aura eu,20
Avoir,have,futur simple,Nous,aurons,20
Avoir,have,futur antérieur,Nous,aurons eu,20
Avoir,have,futur simple,Vous,aurez,20
Avoir,have,futur antérieur,Vous,aurez eu,20
Avoir,have,futur simple,Ils/elles,auront,20
Avoir,have,futur antérieur,Ils/elles,auront eu,20
Avoir,have,conditionnel présent,J',aurais,20
Avoir,have,conditionnel passé,J',aurais eu,20
Avoir,have,conditionnel présent,Tu,aurais,20
Avoir,have,conditionnel passé,Tu,aurais eu,20
Avoir,have,conditionnel présent,Il/elle,aurait,20
Avoir,have,conditionnel passé,Il/elle,aurait eu,20
Avoir,have,conditionnel présent,Nous,aurions,20
Avoir,have,conditionnel passé,Nous,aurions eu,20
Avoir,have,conditionnel présent,Vous,auriez,20
Avoir,have,conditionnel passé,Vous,auriez eu,20
Avoir,have,conditionnel présent,Ils/elles,auraient,20
Avoir,have,conditionnel passé,Ils/elles,auraient eu,20
Avoir,have,conditionnel présent,Tu,),20
Avoir,have,subjonctif présent,Que tu,aies,20
Avoir,have,impératif présent,Nous,Ayons,20
Avoir,have,subjonctif présent,Qu'il/elle,ait,20
Avoir,have,impératif présent,Vous,Ayez,20
Avoir,have,subjonctif présent,Que nous,ayons,20
Avoir,have,subjonctif présent,Que vous,ayez,20
Avoir,have,subjonctif présent,Qu'ils/elles,aient,20
Chanter,sing,présent,Je,chante,22
Chanter,sing,passé composé,J',ai chanté,22
Chanter,sing,imparfait,Je,chantais,22
Chanter,sing,plus-que-parfait,J',avais chanté,22
Chanter,sing,présent,Tu,chantes,22
Chanter,sing,passé composé,Tu,as chanté,22
Chanter,sing,imparfait,Tu,chantais,22
Chanter,sing,plus-que-parfait,Tu,avais chanté,22
Chanter,sing,présent,Il/elle,chante,22
Chanter,sing,passé composé,Il/elle,a chanté,22
Chanter,sing,imparfait,Il/elle,chantait,22
Chanter,sing,plus-que-parfait,Il/elle,avait chanté,22
Chanter,sing,présent,Nous,chantons,22
Chanter,sing,passé composé,Nous,avons chanté,22
Chanter,sing,imparfait,Nous,chantions,22
Chanter,sing,plus-que-parfait,Nous,avions chanté,22
Chanter,sing,présent,Vous,chantez,22
Chanter,sing,passé composé,Vous,avez chanté,22
Chanter,sing,imparfait,Vous,chantiez,22
Chanter,sing,plus-que-parfait,Vous,aviez chanté,22
Chanter,sing,présent,Ils/elles,chantent,22
Chanter,sing,passé composé,Ils/elles,ont chanté,22
Chanter,sing,imparfait,Ils/elles,chantaient,22
Chanter,sing,plus-que-parfait,Ils/elles,avaient chanté,22
Chanter,sing,futur simple,Je,chanterai,22
Chanter,sing,futur antérieur,J',aurai chanté,22
Chanter,sing,futur simple,Tu,chanteras,22
Chanter,sing,futur antérieur,Tu,auras chanté,22
Chanter,sing,futur simple,Il/elle,chantera,22
Chanter,sing,futur antérieur,Il/elle,aura chanté,22
Chanter,sing,futur simple,Nous,chanterons,22
Chanter,sing,futur antérieur,Nous,aurons chanté,22
Chanter,sing,futur simple,Vous,chanterez,22
Chanter,sing,futur antérieur,Vous,aurez chanté,22
Chanter,sing,futur simple,Ils/elles,chanteront,22
Chanter,sing,futur antérieur,Ils/elles,auront chanté,22
Chanter,sing,conditionnel présent,Je,chanterais,22
Chanter,sing,conditionnel passé,J',aurais chanté,22
Chanter,sing,conditionnel présent,Tu,chanterais,22
Chanter,sing,conditionnel passé,Tu,aurais chanté,22
Chanter,sing,conditionnel présent,Il/elle,chanterait,22
Chanter,sing,conditionnel passé,Il/elle,aurait chanté,22
Chanter,sing,conditionnel présent,Nous,chanterions,22
Chanter,sing,conditionnel passé,Nous,aurions chanté,22
Chanter,sing,conditionnel présent,Vous,chanteriez,22
Chanter,sing,conditionnel passé,Vous,auriez chanté,22
Chanter,sing,conditionnel présent,Ils/elles,chanteraient,22
Chanter,sing,conditionnel passé,Ils/elles,auraient chanté,22
Chanter,sing,subjonctif présent,Que je,chante,22
Chanter,sing,impératif présent,Tu,Chante,22
Chanter,sing,subjonctif présent,Que tu,chantes,22
Chanter,sing,impératif présent,Nous,Chantons,22
Chanter,sing,subjonctif présent,Qu'il/elle,chante,22
Chanter,sing,impératif présent,Vous,Chantez,22
Chanter,sing,subjonctif présent,Que nous,chantions,22
Chanter,sing,subjonctif présent,Que vous,chantiez,22
Chanter,sing,subjonctif présent,Qu'ils/elles,chantent,22
Placer,place,présent,Je,place,26
Placer,place,passé composé,J',ai placé,26
Placer,place,imparfait,Je,plaçais,26
Placer,place,plus-que-parfait,J',avais placé,26
Placer,place,présent,Tu,places,26
Placer,place,passé composé,Tu,as placé,26
Placer,place,imparfait,Tu,plaçais,26
Placer,place,plus-que-parfait,Tu,avais placé,26
Placer,place,présent,Il/elle,place,26
Placer,place,passé composé,Il/elle,a placé,26
Placer,place,imparfait,Il/elle,plaçait,26
Placer,place,plus-que-parfait,Il/elle,avait placé,26
Placer,place,présent,Nous,plaçons,26
Placer,place,passé composé,Nous,avons placé,26
Placer,place,imparfait,Nous,placions,26
Placer,place,plus-que-parfait,Nous,avions placé,26
Placer,place,présent,Vous,placez,26
Placer,place,passé composé,Vous,avez placé,26
Placer,place,imparfait,Vous,placiez,26
Placer,place,plus-que-parfait,Vous,aviez placé,26
Placer,place,présent,Ils/elles,placent,26
Placer,place,passé composé,Ils/elles,ont placé,26
Placer,place,imparfait,Ils/elles,plaçaient,26
Placer,place,plus-que-parfait,Ils/elles,avaient placé,26
Placer,place,futur simple,Je,placerai,26
Placer,place,futur antérieur,J',aurai placé,26
Placer,place,futur simple,Tu,placeras,26
Placer,place,futur antérieur,Tu,auras placé,26
Placer,place,futur simple,Il/elle,placera,26
Placer,place,futur antérieur,Il/elle,aura placé,26
Placer,place,futur simple,Nous,placerons,26
Placer,place,futur antérieur,Nous,aurons placé,26
Placer,place,futur simple,Vous,placerez,26
Placer,place,futur antérieur,Vous,aurez placé,26
Placer,place,futur simple,Ils/elles,placeront,26
Placer,place,futur antérieur,Ils/elles,auront placé,26
Placer,place,conditionnel présent,Je,placerais,26
Placer,place,conditionnel passé,J',aurais placé,26
Placer,place,conditionnel présent,Tu,placerais,26
Placer,place,conditionnel passé,Tu,aurais placé,26
Placer,place,conditionnel présent,Il/elle,placerait,26
Placer,place,conditionnel passé,Il/elle,aurait placé,26
Placer,place,conditionnel présent,Nous,placerions,26
Placer,place,conditionnel passé,Nous,aurions placé,26
Placer,place,conditionnel présent,Vous,placeriez,26
Placer,place,conditionnel passé,Vous,auriez placé,26
Placer,place,conditionnel présent,Ils/elles,placeraient,26
Placer,place,conditionnel passé,Ils/elles,auraient placé,26
Placer,place,subjonctif présent,Que je,place,26
Placer,place,impératif présent,Tu,Place,26
Placer,place,subjonctif présent,Que tu,places,26
Placer,place,impératif présent,Nous,Plaçons,26
Placer,place,subjonctif présent,Qu'il/elle,place,26
Placer,place,impératif présent,Vous,Placez,26
Placer,place,subjonctif présent,Que nous,placions,26
Placer,place,subjonctif présent,Que vous,placiez,26
Placer,place,subjonctif présent,Qu'ils/elles,placent,26
Plonger,dive,présent,Je,plonge,28
Plonger,dive,passé composé,J',ai plongé,28
Plonger,dive,imparfait,Je,plongeais,28
Plonger,dive,plus-que-parfait,J',avais plongé,28
Plonger,dive,présent,Tu,plonges,28
Plonger,dive,passé composé,Tu,as plongé,28
Plonger,dive,imparfait,Tu,plongeais,28
Plonger,dive,plus-que-parfait,Tu,avais plongé,28
Plonger,dive,présent,Il/elle,plonge,28
Plonger,dive,passé composé,Il/elle,a plongé,28
Plonger,dive,imparfait,Il/elle,plongeait,28
Plonger,dive,plus-que-parfait,Il/elle,avait plongé,28
Plonger,dive,présent,Nous,plongeons,28
Plonger,dive,passé composé,Nous,avons plongé,28
Plonger,dive,imparfait,Nous,plongions,28
Plonger,dive,plus-que-parfait,Nous,avions plongé,28
Plonger,dive,présent,Vous,plongez,28
Plonger,dive,passé composé,Vous,avez plongé,28
Plonger,dive,imparfait,Vous,plongiez,28
Plonger,dive,plus-que-parfait,Vous,aviez plongé,28
Plonger,dive,présent,Ils/elles,plongent,28
Plonger,dive,passé composé,Ils/elles,ont plongé,28
Plonger,dive,imparfait,Ils/elles,plongeaient,28
Plonger,dive,plus-que-parfait,Ils/elles,avaient plongé,28
Plonger,dive,futur simple,Je,plongerai,28
Plonger,dive,futur antérieur,J',aurai plongé,28
Plonger,dive,futur simple,Tu,plongeras,28
Plonger,dive,futur antérieur,Tu,auras plongé,28
Plonger,dive,futur simple,Il/elle,plongera,28
Plonger,dive,futur antérieur,Il/elle,aura plongé,28
Plonger,dive,futur simple,Nous,plongerons,28
Plonger,dive,futur antérieur,Nous,aurons plongé,28
Plonger,dive,futur simple,Vous,plongerez,28
Plonger,dive,futur antérieur,Vous,aurez plongé,28
Plonger,dive,futur simple,Ils/elles,plongeront,28
Plonger,dive,futur antérieur,Ils/elles,auront plongé,28
Plonger,dive,conditionnel présent,Je,plongerais,28
Plonger,dive,conditionnel passé,J',aurais plongé,28
Plonger,dive,conditionnel présent,Tu,plongerais,28
Plonger,dive,conditionnel passé,Tu,aurais plongé,28
Plonger,dive,conditionnel présent,Il/elle,plongerait,28
Plonger,dive,conditionnel passé,Il/elle,aurait plongé,28
Plonger,dive,conditionnel présent,Nous,plongerions,28
Plonger,dive,conditionnel passé,Nous,aurions plongé,28
Plonger,dive,conditionnel présent,Vous,plongeriez,28
Plonger,dive,conditionnel passé,Vous,auriez plongé,28
Plonger,dive,conditionnel présent,Ils/elles,plongeraient,28
Plonger,dive,conditionnel passé,Ils/elles,auraient plongé,28
Plonger,dive,subjonctif présent,Que je,plonge,28
Plonger,dive,impératif présent,Tu,Plonge,28
Plonger,dive,subjonctif présent,Que tu,plonges,28
Plonger,dive,impératif présent,Nous,Plongeons,28
Plonger,dive,subjonctif présent,Qu'il/elle,plonge,28
Plonger,dive,impératif présent,Vous,Plongez,28
Plonger,dive,subjonctif présent,Que nous,plongions,28
Plonger,dive,subjonctif présent,Que vous,plongiez,28
Plonger,dive,subjonctif présent,Qu'ils/elles,plongent,28
Nettoyer,clean,présent,Je,nettoie,30
Nettoyer,clean,passé composé,J',ai nettoyé,30
Nettoyer,clean,imparfait,Je,nettoyais,30
Nettoyer,clean,plus-que-parfait,J',avais nettoyé,30
Nettoyer,clean,présent,Tu,nettoies,30
Nettoyer,clean,passé composé,Tu,as nettoyé,30
Nettoyer,clean,imparfait,Tu,nettoyais,30
Nettoyer,clean,plus-que-parfait,Tu,avais nettoyé,30
Nettoyer,clean,présent,Il/elle,nettoie,30
Nettoyer,clean,passé composé,Il/elle,a nettoyé,30
Nettoyer,clean,imparfait,Il/elle,nettoyait,30
Nettoyer,clean,plus-que-parfait,Il/elle,avait nettoyé,30
Nettoyer,clean,présent,Nous,nettoyons,30
Nettoyer,clean,passé composé,Nous,avons nettoyé,30
Nettoyer,clean,imparfait,Nous,nettoyions,30
Nettoyer,clean,plus-que-parfait,Nous,avions nettoyé,30
Nettoyer,clean,présent,Vous,nettoyez,30
Nettoyer,clean,passé composé,Vous,avez nettoyé,30
Nettoyer,clean,imparfait,Vous,nettoyiez,30
Nettoyer,clean,plus-que-parfait,Vous,aviez nettoyé,30
Nettoyer,clean,présent,Ils/elles,nettoient,30
Nettoyer,clean,passé composé,Ils/elles,ont nettoyé,30
Nettoyer,clean,imparfait,Ils/elles,nettoyaient,30
Nettoyer,clean,plus-que-parfait,Ils/elles,avaient nettoyé,30
Nettoyer,clean,futur simple,Je,nettoierai,30
Nettoyer,clean,futur antérieur,J',aurai nettoyé,30
Nettoyer,clean,futur simple,Tu,nettoieras,30
Nettoyer,clean,futur antérieur,Tu,auras nettoyé,30
Nettoyer,clean,futur simple,Il/elle,nettoiera,30
Nettoyer,clean,futur antérieur,Il/elle,aura nettoyé,30
Nettoyer,clean,futur simple,Nous,nettoierons,30
Nettoyer,clean,futur antérieur,Nous,aurons nettoyé,30
Nettoyer,clean,futur simple,Vous,nettoierez,30
Nettoyer,clean,futur antérieur,Vous,aurez nettoyé,30
Nettoyer,clean,futur simple,Ils/elles,nettoieront,30
Nettoyer,clean,futur antérieur,Ils/elles,auront nettoyé,30
Nettoyer,clean,conditionnel présent,Je,nettoierais,30
Nettoyer,clean,conditionnel passé,J',aurais nettoyé,30
Nettoyer,clean,conditionnel présent,Tu,nettoierais,30
Nettoyer,clean,conditionnel passé,Tu,aurais nettoyé,30
Nettoyer,clean,conditionnel présent,Il/elle,nettoierait,30
Nettoyer,clean,conditionnel passé,Il/elle,aurait nettoyé,30
Nettoyer,clean,conditionnel présent,Nous,nettoierions,30
Nettoyer,clean,conditionnel passé,Nous,aurions nettoyé,30
Nettoyer,clean,conditionnel présent,Vous,nettoieriez,30
Nettoyer,clean,conditionnel passé,Vous,auriez nettoyé,30
Nettoyer,clean,conditionnel présent,Ils/elles,nettoieraient,30
Nettoyer,clean,conditionnel passé,Ils/elles,auraient nettoyé,30
Nettoyer,clean,subjonctif présent,Que je,nettoie,30
Nettoyer,clean,impératif présent,Tu,Nettoie,30
Nettoyer,clean,subjonctif présent,Que tu,nettoies,30
Nettoyer,clean,impératif présent,Nous,Nettoyons,30
Nettoyer,clean,subjonctif présent,Qu'il/elle,nettoie,30
Nettoyer,clean,impératif présent,Vous,Nettoyez,30
Nettoyer,clean,subjonctif présent,Que nous,nettoyions,30
Nettoyer,clean,subjonctif présent,Que vous,nettoyiez,30
Nettoyer,clean,subjonctif présent,Qu'ils/elles,nettoient,30
Acheter,buy,présent,J',achète,33
Acheter,buy,passé composé,J',ai acheté,33
Acheter,buy,imparfait,J',achetais,33
Acheter,buy,plus-que-parfait,J',avais acheté,33
Acheter,buy,présent,Tu,achètes,33
Acheter,buy,passé composé,Tu,as acheté,33
Acheter,buy,imparfait,Tu,achetais,33
Acheter,buy,plus-que-parfait,Tu,avais acheté,33
Acheter,buy,présent,Il/elle,achète,33
Acheter,buy,passé composé,Il/elle,a acheté,33
Acheter,buy,imparfait,Il/elle,achetait,33
Acheter,buy,plus-que-parfait,Il/elle,avait acheté,33
Acheter,buy,présent,Nous,achetons,33
Acheter,buy,passé composé,Nous,avons acheté,33
Acheter,buy,imparfait,Nous,achetions,33
Acheter,buy,plus-que-parfait,Nous,avions acheté,33
Acheter,buy,présent,Vous,achetez,33
Acheter,buy,passé composé,Vous,avez acheté,33
Acheter,buy,imparfait,Vous,achetiez,33
Acheter,buy,plus-que-parfait,Vous,aviez acheté,33
Acheter,buy,présent,Ils/elles,achètent,33
Acheter,buy,passé composé,Ils/elles,ont acheté,33
Acheter,buy,imparfait,Ils/elles,achetaient,33
Acheter,buy,plus-que-parfait,Ils/elles,avaient acheté,33
Acheter,buy,futur simple,J',achèterai,33
Acheter,buy,futur antérieur,J',aurai acheté,33
Acheter,buy,futur simple,Tu,achèteras,33
Acheter,buy,futur antérieur,Tu,auras acheté,33
Acheter,buy,futur simple,Il/elle,achètera,33
Acheter,buy,futur antérieur,Il/elle,aura acheté,33
Acheter,buy,futur simple,Nous,achèterons,33
Acheter,buy,futur antérieur,Nous,aurons acheté,33
Acheter,buy,futur simple,Vous,achèterez,33
Acheter,buy,futur antérieur,Vous,aurez acheté,33
Acheter,buy,futur simple,Ils/elles,achèteront,33
Acheter,buy,futur antérieur,Ils/elles,auront acheté,33
Acheter,buy,conditionnel présent,J',achèterais,33
Acheter,buy,conditionnel passé,J',aurais acheté,33
Acheter,buy,conditionnel présent,Tu,achèterais,33
Acheter,buy,conditionnel passé,Tu,aurais acheté,33
Acheter,buy,conditionnel présent,Il/elle,achèterait,33
Acheter,buy,conditionnel passé,Il/elle,aurait acheté,33
Acheter,buy,conditionnel présent,Nous,achèterions,33
Acheter,buy,conditionnel passé,Nous,aurions acheté,33
Acheter,buy,conditionnel présent,Vous,achèteriez,33
Acheter,buy,conditionnel passé,Vous,auriez acheté,33
Acheter,buy,conditionnel présent,Ils/elles,achèteraient,33
Acheter,buy,conditionnel passé,Ils/elles,auraient acheté,33
Acheter,buy,conditionnel présent,Tu,),33
Acheter,buy,subjonctif présent,Que tu,achètes,33
Acheter,buy,impératif présent,Nous,Achetons,33
Acheter,buy,subjonctif présent,Qu'il/elle,achète,33
Acheter,buy,impératif présent,Vous,Achetez,33
Acheter,buy,subjonctif présent,Que nous,achetions,33
Acheter,buy,subjonctif présent,Que vous,achetiez,33
Acheter,buy,subjonctif présent,Qu'ils/elles,achètent,33
Geler,freeze,présent,Je,gèle,34
Geler,freeze,passé composé,J',ai gelé,34
Geler,freeze,imparfait,Je,gelais,34
Geler,freeze,plus-que-parfait,J',avais gelé,34
Geler,freeze,présent,Tu,gèles,34
Geler,freeze,passé composé,Tu,as gelé,34
Geler,freeze,imparfait,Tu,gelais,34
Geler,freeze,plus-que-parfait,Tu,avais gelé,34
Geler,freeze,présent,Il/elle,gèle,34
Geler,freeze,passé composé,Il/elle,a gelé,34
Geler,freeze,imparfait,Il/elle,gelait,34
Geler,freeze,plus-que-parfait,Il/elle,avait gelé,34
Geler,freeze,présent,Nous,gelons,34
Geler,freeze,passé composé,Nous,avons gelé,34
Geler,freeze,imparfait,Nous,gelions,34
Geler,freeze,plus-que-parfait,Nous,avions gelé,34
Geler,freeze,présent,Vous,gelez,34
Geler,freeze,passé composé,Vous,avez gelé,34
Geler,freeze,imparfait,Vous,geliez,34
Geler,freeze,plus-que-parfait,Vous,aviez gelé,34
Geler,freeze,présent,Ils/elles,gèlent,34
Geler,freeze,passé composé,Ils/elles,ont gelé,34
Geler,freeze,imparfait,Ils/elles,gelaient,34
Geler,freeze,plus-que-parfait,Ils/elles,avaient gelé,34
Geler,freeze,futur simple,Je,gèlerai,34
Geler,freeze,futur antérieur,J',aurai gelé,34
Geler,freeze,futur simple,Tu,gèleras,34
Geler,freeze,futur antérieur,Tu,auras gelé,34
Geler,freeze,futur simple,Il/elle,gèlera,34
Geler,freeze,futur antérieur,Il/elle,aura gelé,34
Geler,freeze,futur simple,Nous,gèlerons,34
Geler,freeze,futur antérieur,Nous,aurons gelé,34
Geler,freeze,futur simple,Vous,gèlerez,34
Geler,freeze,futur antérieur,Vous,aurez gelé,34
Geler,freeze,futur simple,Ils/elles,gèleront,34
Geler,freeze,futur antérieur,Ils/elles,auront gelé,34
Geler,freeze,conditionnel présent,Je,gèlerais,34
Geler,freeze,conditionnel passé,J',aurais gelé,34
Geler,freeze,conditionnel présent,Tu,gèlerais,34
Geler,freeze,conditionnel passé,Tu,aurais gelé,34
Geler,freeze,conditionnel présent,Il/elle,gèlerait,34
Geler,freeze,conditionnel passé,Il/elle,aurait gelé,34
Geler,freeze,conditionnel présent,Nous,gèlerions,34
Geler,freeze,conditionnel passé,Nous,aurions gelé,34
Geler,freeze,conditionnel présent,Vous,gèleriez,34
Geler,freeze,conditionnel passé,Vous,auriez gelé,34
Geler,freeze,conditionnel présent,Ils/elles,gèleraient,34
Geler,freeze,conditionnel passé,Ils/elles,auraient gelé,34
Geler,freeze,subjonctif présent,Que je,gèle,34
Geler,freeze,impératif présent,Tu,Gèle,34
Geler,freeze,subjonctif présent,Que tu,gèles,34
Geler,freeze,impératif présent,Nous,Gelons,34
Geler,freeze,subjonctif présent,Qu'il/elle,gèle,34
Geler,freeze,impératif présent,Vous,Gelez,34
Geler,freeze,subjonctif présent,Que nous,gelions,34
Geler,freeze,subjonctif présent,Que vous,geliez,34
Geler,freeze,subjonctif présent,Qu'ils/elles,gèlent,34
Amener,bring,présent,J',amène,35
Amener,bring,passé composé,J',ai amené,35
Amener,bring,imparfait,J',amenais,35
Amener,bring,plus-que-parfait,J',avais amené,35
Amener,bring,présent,Tu,amènes,35
Amener,bring,passé composé,Tu,as amené,35
Amener,bring,imparfait,Tu,amenais,35
Amener,bring,plus-que-parfait,Tu,avais amené,35
Amener,bring,présent,Il/elle,amène,35
Amener,bring,passé composé,Il/elle,a amené,35
Amener,bring,imparfait,Il/elle,amenait,35
Amener,bring,plus-que-parfait,Il/elle,avait amené,35
Amener,bring,présent,Nous,amenons,35
Amener,bring,passé composé,Nous,avons amené,35
Amener,bring,imparfait,Nous,amenions,35
Amener,bring,plus-que-parfait,Nous,avions amené,35
Amener,bring,présent,Vous,amenez,35
Amener,bring,passé composé,Vous,avez amené,35
Amener,bring,imparfait,Vous,ameniez,35
Amener,bring,plus-que-parfait,Vous,aviez amené,35
Amener,bring,présent,Ils/elles,amènent,35
Amener,bring,passé composé,Ils/elles,ont amené,35
Amener,bring,imparfait,Ils/elles,amenaient,35
Amener,bring,plus-que-parfait,Ils/elles,avaient amené,35
Amener,bring,futur simple,J',amènerai,35
Amener,bring,futur antérieur,J',aurai amené,35
Amener,bring,futur simple,Tu,amèneras,35
Amener,bring,futur antérieur,Tu,auras amené,35
Amener,bring,futur simple,Il/elle,amènera,35
Amener,bring,futur antérieur,Il/elle,aura amené,35
Amener,bring,futur simple,Nous,amènerons,35
Amener,bring,futur antérieur,Nous,aurons amené,35
Amener,bring,futur simple,Vous,amènerez,35
Amener,bring,futur antérieur,Vous,aurez amené,35
Amener,bring,futur simple,Ils/elles,amèneront,35
Amener,bring,futur antérieur,Ils/elles,auront amené,35
Amener,bring,conditionnel présent,J',amènerais,35
Amener,bring,conditionnel passé,J',aurais amené,35
Amener,bring,conditionnel présent,Tu,amènerais,35
Amener,bring,conditionnel passé,Tu,aurais amené,35
Amener,bring,conditionnel présent,Il/elle,amènerait,35
Amener,bring,conditionnel passé,Il/elle,aurait amené,35
Amener,bring,conditionnel présent,Nous,amènerions,35
Amener,bring,conditionnel passé,Nous,aurions amené,35
Amener,bring,conditionnel présent,Vous,amèneriez,35
Amener,bring,conditionnel passé,Vous,auriez amené,35
Amener,bring,conditionnel présent,Ils/elles,amèneraient,35
Amener,bring,conditionnel passé,Ils/elles,auraient amené,35
Amener,bring,conditionnel présent,Tu,),35
Amener,bring,subjonctif présent,Que tu,amènes,35
Amener,bring,impératif présent,Nous,Amenons,35
Amener,bring,subjonctif présent,Qu'il/elle,amène,35
Amener,bring,impératif présent,Vous,Amenez,35
Amener,bring,subjonctif présent,Que nous,amenions,35
Amener,bring,subjonctif présent,Que vous,ameniez,35
Amener,bring,subjonctif présent,Qu'ils/elles,amènent,35
Peser,weigh,présent,Je,pèse,36
Peser,weigh,passé composé,J',ai pesé,36
Peser,weigh,imparfait,Je,pesais,36
Peser,weigh,plus-que-parfait,J',avais pesé,36
Peser,weigh,présent,Tu,pèses,36
Peser,weigh,passé composé,Tu,as pesé,36
Peser,weigh,imparfait,Tu,pesais,36
Peser,weigh,plus-que-parfait,Tu,avais pesé,36
Peser,weigh,présent,Il/elle,pèse,36
Peser,weigh,passé composé,Il/elle,a pesé,36
Peser,weigh,imparfait,Il/elle,pesait,36
Peser,weigh,plus-que-parfait,Il/elle,avait pesé,36
Peser,weigh,présent,Nous,pesons,36
Peser,weigh,passé composé,Nous,avons pesé,36
Peser,weigh,imparfait,Nous,pesions,36
Peser,weigh,plus-que-parfait,Nous,avions pesé,36
Peser,weigh,présent,Vous,pesez,36
Peser,weigh,passé composé,Vous,avez pesé,36
Peser,weigh,imparfait,Vous,pesiez,36
Peser,weigh,plus-que-parfait,Vous,aviez pesé,36
Peser,weigh,présent,Ils/elles,pèsent,36
Peser,weigh,passé composé,Ils/elles,ont pesé,36
Peser,weigh,imparfait,Ils/elles,pesaient,36
Peser,weigh,plus-que-parfait,Ils/elles,avaient pesé,36
Peser,weigh,futur simple,Je,pèserai,36
Peser,weigh,futur antérieur,J',aurai pesé,36
Peser,weigh,futur simple,Tu,pèseras,36
Peser,weigh,futur antérieur,Tu,auras pesé,36
Peser,weigh,futur simple,Il/elle,pèsera,36
Peser,weigh,futur antérieur,Il/elle,aura pesé,36
Peser,weigh,futur simple,Nous,pèserons,36
Peser,weigh,futur antérieur,Nous,aurons pesé,36
Peser,weigh,futur simple,Vous,pèserez,36
Peser,weigh,futur antérieur,Vous,aurez pesé,36
Peser,weigh,futur simple,Ils/elles,pèseront,36
